test,curve,x,y
"Microphysics Kernel","Kt_over_sig2",0.3325,0.3867410234545012
"Microphysics Kernel","Kt_over_sig2",0.3500000000000001,0.3678794411714422
"Microphysics Kernel","Kt_over_sig2",0.3674999999999997,0.34993774911115566
"Microphysics Kernel","Kt_over_sig2",0.3849999999999998,0.3328710836980797
"Microphysics Kernel","Kt_over_sig2",0.40249999999999986,0.31663676937905333
"Microphysics Kernel","Kt_over_sig2",0.41999999999999993,0.3011942119122021
"Microphysics Kernel","Kt_over_sig2",0.4375,0.2865047968601901
"Microphysics Kernel","Kt_over_sig2",0.45500000000000007,0.27253179303401254
"Microphysics Kernel","Kt_over_sig2",0.47250000000000014,0.2592402606458914
"Microphysics Kernel","Kt_over_sig2",0.4900000000000002,0.24659696394160627
"Microphysics Kernel","Kt_over_sig2",0.5075000000000003,0.23457028809379746
"Microphysics Kernel","Kt_over_sig2",0.5249999999999999,0.22313016014842987
"Microphysics Kernel","Kt_over_sig2",0.5425,0.21224797382674304
"Microphysics Kernel","Kt_over_sig2",0.56,0.20189651799465536
"Microphysics Kernel","Kt_over_sig2",0.5775000000000001,0.19204990862075405
"Microphysics Kernel","Kt_over_sig2",0.5950000000000002,0.18268352405273452
"Microphysics Kernel","Kt_over_sig2",0.6125000000000003,0.17377394345044497
"Microphysics Kernel","Kt_over_sig2",0.6300000000000003,0.16529888822158634
"Microphysics Kernel","Kt_over_sig2",0.6475,0.1572371663136276
"Microphysics Kernel","Kt_over_sig2",0.665,0.14956861922263504
"Microphysics Kernel","Kt_over_sig2",0.6824999999999997,0.1422740715865137
"Microphysics Kernel","Kt_over_sig2",0.6999999999999997,0.13533528323661279
"Microphysics Kernel","Kt_over_sig2",0.7174999999999998,0.1287349035878043
"Microphysics Kernel","Kt_over_sig2",0.7349999999999999,0.12245642825298195
"Microphysics Kernel","Kt_over_sig2",0.7525,0.11648415777349697
"Microphysics Kernel","Kt_over_sig2",0.77,0.11080315836233387
"Microphysics Kernel","Kt_over_sig2",0.7875000000000001,0.10539922456186429
"Microphysics Kernel","Kt_over_sig2",0.8049999999999997,0.1002588437228038
"Microphysics Kernel","Kt_over_sig2",0.8224999999999998,0.09536916221554965
"Microphysics Kernel","Kt_over_sig2",0.8399999999999999,0.09071795328941251
"Microphysics Kernel","Kt_over_sig2",0.8574999999999999,0.08629358649937054
"Microphysics Kernel","Kt_over_sig2",0.875,0.0820849986238988
"Microphysics Kernel","Kt_over_sig2",0.8925000000000001,0.07808166600115313
"Microphysics Kernel","Kt_over_sig2",0.9100000000000001,0.07427357821433384
"Microphysics Kernel","Kt_over_sig2",0.9275000000000002,0.07065121306042953
