file,rows,r_min,r_max,vobs_min,vobs_max,err_min,err_max
NGC0300.csv,25,0.91,11.8,33.1,97,1.5,13.9
NGC0801.csv,13,1.17,59.82,123,238,2.4,8.8
NGC0891.csv,18,0.92,17.11,192,234,2.3,12
NGC1003.csv,36,1.25,30.24,47,115,1.3,7.6
NGC1090.csv,24,0.35,30.09,20.9,176,2.23,12.1
NGC1705.csv,14,0.22,6,50.2,73.2,2.73,10.5
NGC2366.csv,26,0.12,6.06,4.2,53.7,1.08,7.42
NGC2403.csv,73,0.16,20.87,24.5,136,0.21,8.39
NGC2683.csv,11,2.89,34.62,150,212,5,12
NGC2841.csv,50,3.44,63.64,271,323,2.83,23.4
NGC2903.csv,34,0.32,24.96,44,216,1,8
NGC2915.csv,30,0.34,10.04,13.5,86.5,5.23,13.4
NGC2955.csv,24,0.75,35.43,169,276,3.47,15.7
NGC2976.csv,27,0.11,2.27,6.8,88.7,2.1,5.5
NGC2998.csv,13,0.33,42.28,90,214,2,20
NGC3109.csv,25,0.26,6.45,6.1,67.3,0.7,5.6
NGC3198.csv,43,0.32,44.08,24.4,157,0.88,35.9
NGC3521.csv,41,0.51,17.74,143,220,5.6,33.1
NGC3726.csv,12,3.5,32.52,102,169,3.9,15.2
NGC3741.csv,21,0.23,7,13.1,51.6,2.19,3.24
NGC3769.csv,12,1.74,37.16,87.5,126,4.4,15.2
NGC3877.csv,13,0.87,11.35,37.8,171,4.5,9
NGC3893.csv,10,1.74,19.05,145,194,5.5,13.5
NGC3917.csv,17,0.87,14.86,24.3,138,3.5,7.5
NGC3949.csv,7,1.74,7.07,123,169,5.5,25.5
NGC3953.csv,8,3.5,15.68,181,224,5.6,9.7
NGC3972.csv,10,0.87,8.72,39.6,134,3.9,6.6
NGC3992.csv,9,9.19,46.02,237,272,5.3,8.6
NGC4010.csv,12,0.87,10.47,39.3,129,3.9,6.7
NGC4013.csv,36,5.49,31.01,162,198,3,10
NGC4051.csv,7,1.74,12.19,116,161,5.2,14.8
NGC4068.csv,6,0.21,2.33,4.68,41.9,1.7,4.97
NGC4085.csv,7,0.87,6.2,42.2,136,4.5,7.4
NGC4088.csv,12,1.74,21.48,84.9,182,5.6,11.3
NGC4100.csv,24,2.61,22.76,120,195,3.5,10.5
NGC4138.csv,7,2.61,18.58,145,195,6.8,21
NGC4157.csv,17,1.74,29.61,96.4,201,6,13.6
NGC4183.csv,23,0.87,21.02,47.1,115,4.4,11.5
NGC4214.csv,14,0.21,5.63,55.5,80.6,4.52,9.37
NGC4217.csv,19,0.87,16.72,47.8,191,5.55,12
NGC4389.csv,6,0.87,5.32,27.3,110,5.8,7.6
NGC4559.csv,32,0.67,20.97,43.8,124,2.74,10.9
NGC5005.csv,18,0.49,11.47,211,265,7.67,40.1
NGC5033.csv,22,0.76,44.59,191,225,2,16
NGC5055.csv,28,0.72,54.59,125,206,0.42,17.6
NGC5371.csv,19,1.45,46.24,207,242,3,10
NGC5585.csv,24,0.09,10.96,11.2,92.3,0.9,4.4
