galaxy,n,chi2_bary,redchi2_bary,chi2_qds,redchi2_qds,improve_pct,v0,lam,out_csv
NGC3521,41,1205.64,29.4057,1162.66,29.8119,-1.381,303.448,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3521_QDS_bestfit.csv
NGC3726,12,257.327,21.4439,229.187,22.9187,-6.878,146.3,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3726_QDS_bestfit.csv
NGC3741,21,2401.33,114.349,9.88654,0.520344,99.545,50.0579,2.18673,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3741_QDS_bestfit.csv
NGC3769,12,267.881,22.3234,57.3765,5.73765,74.298,109.076,10.944,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3769_QDS_bestfit.csv
NGC3877,13,278.214,21.4011,278.214,25.2922,-18.182,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3877_QDS_bestfit.csv
NGC3893,10,167.362,16.7362,124.198,15.5247,7.239,304.029,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3893_QDS_bestfit.csv
NGC3917,17,636.644,37.4496,28.6756,1.91171,94.895,96.8039,4.93156,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3917_QDS_bestfit.csv
NGC3949,7,196.614,28.0877,196.614,39.3227,-40.000,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3949_QDS_bestfit.csv
NGC3953,8,69.0729,8.63412,69.0729,11.5122,-33.333,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3953_QDS_bestfit.csv
NGC3972,10,186.323,18.6323,12.9322,1.61652,91.324,120.754,6.91829,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3972_QDS_bestfit.csv
